Protein,Ligand,Diffdock,Total
Orai1WT-MDSnap-Fr300_cleaned,ETZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EYK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F3F_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F6B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FAC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FBA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FBC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FBS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FBT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FBU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FCR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FFB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FGL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FHC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FLA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FNP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FOS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FPI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FPO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FUM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,G1L_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,G2H_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,G50_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GAI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GB5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GBN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GBS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GD7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GD8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GG5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GHP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GJZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GOL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GP6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GUA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GVC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GVN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GVO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GVQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GZB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,H11_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,H3P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HAI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HBA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HC4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HCI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HFA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HFT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HFZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HG0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HGB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HHH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HLT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HPH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HPP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HPQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HPS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HQE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HQQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HS6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HS7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HXP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HY1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,I15_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IBO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IBP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IC1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ICF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IET_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IFP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IGL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ILW_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,INV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IOE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IOF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IOL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IOY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IPA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IPH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IS2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ISA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ISO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ISP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IXX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,J5Z_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JAL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JBC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,K94_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KZF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L02_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LAZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LCO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LCP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LJ1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LJ2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LJ3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LJ4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LJ5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LL2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LZ4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LZ8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LZE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LZJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LZK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,M0N_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,M25_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,M28_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MAE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MAH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MAK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MBN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MBO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MBT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MD7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MDD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MDN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MES_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MF3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MFG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MGR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MLA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MLI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MM3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MMQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MNN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MNY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MOO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MOS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MPB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MPO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MPX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MR4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MR5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MR6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MRE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MSB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MSR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MTN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MXT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N2P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N4E_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N5B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N6W_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NBU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NDD_ideal,11,11
