method,protein,ligand,pose_name,pose_file,output_image,interactions,total_interactions,error,attractive_charge,repulsion,metal_coordination,carbon_pi,hydrophobic,cation_pi,covalent,alkyl_pi,amide_pi,hydrogen_bonds,salt_bridge,pi_cation,donor_pi,pi_pi_stacking,halogen_bonds,ionic
autodock,Orai1WT-START-Fr0,Synta-66-OPT-Singlet,Orai1WT-START-Fr0__Synta-66-OPT-Singlet_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-START-Fr0__Synta-66-OPT-Singlet_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/autodock/Orai1WT-START-Fr0__Synta-66-OPT-Singlet/images/Orai1WT-START-Fr0__Synta-66-OPT-Singlet_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 1, 'pi_pi_stacking': 1, 'donor_pi': 1, 'amide_pi': 0, 'hydrophobic': 2, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 3, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",8,,0,0,0,1,2,0,0,3,0,0,0,0,1,1,0,0
autodock,Orai1WT-START-Fr0,gsk7975a-prot-OPT,Orai1WT-START-Fr0__gsk7975a-prot-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-START-Fr0__gsk7975a-prot-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/autodock/Orai1WT-START-Fr0__gsk7975a-prot-OPT/images/Orai1WT-START-Fr0__gsk7975a-prot-OPT_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-MDSnap-Fr400/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr400__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 2, 'pi_pi_stacking': 2, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 1, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 1, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",6,,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0
diffdock,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-MDSnap-Fr499/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr499__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-START-Fr0,2abp-nh2-OPT,2abp-nh2-OPT__Orai1WT-START-Fr0/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-START-Fr0/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-START-Fr0__2abp-nh2-OPT/images/2abp-nh2-OPT__Orai1WT-START-Fr0_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr300__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr400__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-MDSnap-Fr499__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffdock,Orai1WT-START-Fr0,2abp-nh3p-OPT,2abp-nh3p-OPT__Orai1WT-START-Fr0/rank1.sdf,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-START-Fr0/complex_0/rank1.sdf,/home/manndo/master_dev/pandamap_results/diffdock/Orai1WT-START-Fr0__2abp-nh3p-OPT/images/2abp-nh3p-OPT__Orai1WT-START-Fr0_rank1.sdf_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
