protein,n_poses,spearman_rho,kendall_tau,aff_top1_from_dd_rank,dd_top1_to_aff_rank
7OFK_VCH,30,0.2867630700778643,0.167816091954023,3,4
7OKC_VFE,30,0.5870967741935484,0.4344827586206897,1,1
7OKF_VH5,30,0.41045606229143494,0.28735632183908044,27,14
7OLI_8HG,30,0.3659621802002225,0.25517241379310346,5,2
7OLT_58J,30,0.20622914349276972,0.15862068965517243,1,1
7OMJ_GCP,30,0.17374860956618463,0.14482758620689656,6,8
7OMX_CNA,30,0.3619577308120133,0.22758620689655176,1,1
7OP9_06K,30,0.8055617352614016,0.6137931034482759,3,6
7OPG_06N,30,0.8634998384726797,0.6904492488684383,4,6
7ORW_7WA,30,0.012235817575083427,0.0022988505747126436,8,26
7OSO_0V1,30,0.21334816462736375,0.12643678160919541,5,2
7OU8_1XI,30,0.22204917258328638,0.17951680470579395,20,9
7OZ9_NGK,30,0.1292547274749722,0.08505747126436781,8,7
7OZC_G6S,30,-0.28097886540600664,-0.20919540229885059,22,12
7P1F_KFN,30,0.31345939933259176,0.26436781609195403,1,1
7P1M_4IU,30,0.6832035595105673,0.5218390804597701,19,6
7P2I_MFU,30,0.2992213570634038,0.21839080459770116,1,1
7P2W_4QR,30,0.47497219132369295,0.32873563218390806,9,5
7P4C_5OV,30,0.7854441018540294,0.5767047212065276,16,8
7P4J_5JK,30,0.6155728587319244,0.46206896551724136,1,1
7P4V_DAT,30,0.4967741935483871,0.33333333333333337,14,10
7P5T_5YG,30,0.19733036707452725,0.1310344827586207,14,5
7P85_5ZG,30,0.029143492769744164,0.03908045977011494,28,9
7PA4_C,30,0.6511679644048943,0.47126436781609193,2,6
7PGX_FMN,30,-0.3917686318131257,-0.2827586206896552,27,29
7PIH_7QW,30,0.7437152391546161,0.5310344827586208,12,8
7PJQ_OWH,30,0.36240266963292544,0.24597701149425286,26,14
7PK0_BYC,30,-0.04160177975528365,-0.029885057471264367,5,22
7PL1_SFG,30,0.45850945494994433,0.32873563218390806,23,2
7POM_7VZ,30,0.7218513752364916,0.5230428630984871,2,6
7PRI_7TI,30,0.810901001112347,0.6229885057471265,2,6
7PRM_81I,30,-0.21512791991101224,-0.13563218390804596,17,27
7PT3_3KK,30,0.5523915461624027,0.3977011494252874,1,1
7PUV_84Z,30,0.6053392658509456,0.4206896551724138,11,6
7Q19_DSM,30,0.14927697441601778,0.0896551724137931,26,4
7Q25_8J9,30,0.641707070659965,0.4869997782638491,2,3
7Q27_8KC,30,0.7072302558398219,0.5402298850574713,2,18
7Q2B_M6H,30,0.071412680756396,0.0574712643678161,28,15
7Q5I_I0F,30,0.4709677419354839,0.36091954022988504,3,3
7QE4_NGA,29,0.4266009852216748,0.3004926108374384,12,20
7QF4_RBF,30,-0.022274212059522423,-0.027810880122253363,3,4
7QFM_AY3,30,0.8157953281423804,0.6045977011494253,5,4
7QGP_DJ8,30,-0.02469410456062291,-0.006896551724137931,25,11
7QHG_T3B,29,0.09162561576354677,0.05418719211822659,12,2
7QHL_D5P,30,0.8740823136818686,0.664367816091954,7,4
7QK0_EBL,30,-0.31345939933259176,-0.19540229885057472,26,25
7QPP_VDX,30,0.7988876529477197,0.6275862068965518,2,2
7QSW_CAP,30,0.42335928809788653,0.31494252873563217,3,6
7QTA_URI,30,0.4255839822024471,0.30574712643678165,23,4
7R3D_APR,30,0.4153503893214683,0.3103448275862069,22,2
7R59_I5F,30,-0.028197877531005583,-0.04040239295501304,11,26
7R6J_2I7,30,0.49660696714017555,0.3498276194266754,4,11
7R7R_AWJ,30,0.7601779755283649,0.5862068965517242,12,2
7R9N_F97,30,0.041156840934371525,0.029885057471264367,6,21
7RC3_SAH,30,0.13014460511679646,0.0574712643678161,18,21
7REE_4LY,30,0.5359288097886541,0.3471264367816092,14,5
7RH3_59O,30,-0.2342602892102336,-0.19080459770114944,18,15
7RH8_UTP,30,0.8220244716351501,0.6275862068965518,2,16
7RKW_5TV,30,-0.1292547274749722,-0.0896551724137931,22,23
7RNI_60I,30,0.3432703003337041,0.2597701149425288,18,6
7ROR_69X,30,0.7784204671857619,0.5678160919540229,6,6
7ROU_66I,30,0.43715239154616237,0.2735632183908046,10,2
7RPZ_6IC,30,-0.05139043381535039,-0.04827586206896552,1,1
7RSV_7IQ,30,0.1418392902837044,0.12051381386309791,16,10
7RUI_7QZ,30,0.5515016685205784,0.3701149425287356,6,4
7RWO_7WN,30,0.5893870322376008,0.2577677195775503,7,14
7RWS_4UR,30,0.38020022246941043,0.25517241379310346,10,10
7RZL_NPO,30,0.02736373748609566,0.02528735632183908,5,25
7S45_ACO,30,0.28186874304783094,0.21839080459770116,1,1
7S9H_7PP,30,0.6387096774193549,0.47126436781609193,11,4
7SCW_GSP,30,0.717908787541713,0.5218390804597701,7,3
7SDD_4IP,30,0.6551724137931034,0.45287356321839084,3,19
7SED_8VD,30,0.4589543937708565,0.2781609195402299,12,24
7SFO_98L,30,0.5684093437152391,0.37471264367816093,17,2
7SGV_L30,30,0.13548387096774192,0.10344827586206898,7,23
7SIU_9ID,30,0.5715239154616241,0.40689655172413797,1,1
7SNE_9XR,30,0.6462736373748609,0.4942528735632184,4,8
7SSM_B7L,30,0.06562847608453837,0.0574712643678161,15,8
7SUC_COM,30,0.7067853170189099,0.4988505747126437,4,11
7SZA_DUI,30,0.4402669632925473,0.33333333333333337,7,7
7T0D_FPP,30,0.5270300333704115,0.37471264367816093,2,10
7T0U_E3I,30,0.7939933259176863,0.5954022988505747,2,6
7T1D_E7K,30,0.8100111234705227,0.6183908045977011,1,1
7T2I_E9F,30,0.0896551724137931,0.06666666666666667,9,3
7T3E_SLB,29,0.7965517241379308,0.6354679802955664,2,2
7T3F_EM0,30,0.5280373962503683,0.3617521123632709,28,8
7T9O_GEI,30,0.2901323858202459,0.23935573960772527,6,7
7TB0_UD1,29,0.41034482758620683,0.3004926108374384,2,4
7TBU_S3P,30,0.21245828698553948,0.15402298850574714,3,7
7TE8_P0T,30,-0.038042269187986644,-0.006896551724137931,24,3
7TH4_FFO,30,0.5915461624026696,0.4298850574712643,3,3
7THI_PGA,30,0.5590656284760844,0.40689655172413797,4,9
7TM6_GPJ,30,0.3868743047830923,0.22298850574712642,13,13
7TOM_5AD,30,-0.1350389321468298,-0.08045977011494253,17,24
7TS6_KMI,30,0.679946650939093,0.502886516892092,2,10
7TSF_H4B,30,0.5292547274749722,0.38390804597701156,1,1
7TUO_KL9,30,0.37619577308120133,0.2735632183908046,3,2
7TWC_CXS,30,0.02736373748609566,0.029885057471264367,24,20
7TXK_LW8,30,0.37708565072302563,0.24597701149425286,1,1
7TXP_0FX,30,0.7094549499443825,0.5310344827586208,13,9
7TYP_KUR,30,0.6774193548387096,0.5126436781609195,11,5
7U0U_FK5,30,-0.5332591768631813,-0.37471264367816093,26,12
7U3J_L6U,30,0.4487208008898776,0.3195402298850575,11,4
7UAS_MBU,30,0.8531701890989989,0.6735632183908047,1,1
7UAW_MF6,30,0.21957730812013349,0.15402298850574714,3,22
7UEY_N0R,29,0.06945812807881772,0.03448275862068965,1,1
7UF2_5SP,30,0.7677419354838709,0.5494252873563219,3,11
7UJ4_OQ4,30,0.12480533926585094,0.10344827586206898,14,23
7UJ5_DGL,30,0.2578420467185762,0.1632183908045977,1,1
7UJF_R3V,30,0.645357022003925,0.4820805885844162,6,5
7ULC_56B,30,-0.18086763070077863,-0.13563218390804596,7,19
7UMV_NUU,30,0.2387096774193548,0.18160919540229886,25,16
7UMW_NAD,30,0.44293659621801995,0.296551724137931,19,2
7UP3_NZ0,30,0.6493882091212457,0.48045977011494256,1,1
7UQ3_O2U,30,0.5138533723487645,0.3690910215721776,15,11
7USH_82V,30,0.6777964321597773,0.4272562897937335,6,16
7UTW_NAI,30,0.7032258064516129,0.47126436781609193,9,8
7UXS_OJC,30,0.296551724137931,0.20459770114942533,7,16
7UY4_SMI,30,0.11724137931034483,0.0896551724137931,25,27
7UYB_OK0,30,0.7374860956618465,0.5310344827586208,4,17
7V14_ORU,30,0.6760845383759733,0.4850574712643679,1,1
7V3N_AKG,30,-0.6387807359585324,-0.46950548923053803,16,30
7V3S_5I9,30,0.43270300333704115,0.30574712643678165,27,3
7V43_C4O,30,0.021806854122434088,0.0023041535819316615,23,24
7V8Z_5YH,30,0.8656284760845384,0.6551724137931034,4,6
7VB8_STL,30,0.5150166852057843,0.4206896551724138,16,2
7VBU_6I4,30,-0.0004450378392333487,0.0023041535819316615,23,23
7VC5_9SF,30,0.6382647385984427,0.4482758620689655,5,8
7VJT_7IJ,30,0.7619577308120132,0.5310344827586208,13,3
7VKZ_NOJ,30,0.6800889877641824,0.4850574712643679,6,6
7VQ9_ISY,30,0.5728587319243604,0.40229885057471265,7,2
7VWF_K55,30,0.8620689655172413,0.7057471264367816,14,2
7VYJ_CA0,30,0.4420467185761958,0.32873563218390806,1,1
7W05_GMP,30,0.7365962180200223,0.5724137931034483,1,1
7W06_ITN,30,-0.17597330367074526,-0.14482758620689656,20,12
7W6F_8I6,30,0.539043381535039,0.39310344827586213,1,1
7WCF_ACP,30,-0.16395995550611792,-0.11264367816091954,12,10
7WDT_NGS,30,0.20311457174638486,0.1632183908045977,1,1
7WJB_BGC,30,0.5154616240266964,0.3701149425287356,5,8
7WKL_CAQ,30,0.40111234705228027,0.2735632183908046,23,2
7WL4_JFU,30,0.6978865406006673,0.4850574712643679,9,4
7WN5_JGL,30,0.9025583982202448,0.7195402298850575,3,2
7WPW_F15,30,0.11590656284760845,0.06206896551724138,15,13
7WQQ_5Z6,30,0.14705228031145717,0.10804597701149425,7,17
7WUX_6OI,30,0.061179087875417135,0.06206896551724138,11,5
7WUY_76N,30,0.12080088987764183,0.08505747126436781,3,29
7WY1_D0L,30,0.3993325917686318,0.296551724137931,19,2
7X5N_5M5,30,-0.1114571746384872,-0.07586206896551725,29,11
7X9K_8OG,30,0.6863181312569522,0.5310344827586208,22,6
7XBV_APC,30,0.3575083426028921,0.2689655172413793,1,1
7XEK_9YX,30,0.0002224694104560623,0.0022988505747126436,22,10
7XFA_D9J,30,0.5771498533878205,0.4464905142682567,2,4
7XG5_PLP,30,0.5906562847608453,0.42528735632183906,1,1
7XI7_4RI,30,0.4709677419354839,0.32873563218390806,27,19
7XIJ_EJ3,30,0.6703003337041158,0.5586206896551724,1,1
7XJN_NSD,30,0.39826454802012284,0.2899886845247441,13,14
7XPO_UPG,30,0.7486095661846496,0.5678160919540229,5,2
7XQZ_FPF,30,0.20756395995550608,0.14942528735632182,16,6
7XRL_FWK,29,0.36108374384236447,0.2561576354679802,9,10
7YZU_DO7,30,-0.1670745272525028,-0.09885057471264368,30,23
7Z1Q_NIO,30,0.16160269614055775,0.11316517945888076,25,14
7Z2O_IAJ,30,0.5958393629038485,0.40966655432860677,26,17
7Z7F_IF3,30,-0.08743047830923248,-0.03448275862068966,21,14
7ZCC_OGA,29,0.473399014778325,0.38423645320197036,29,7
7ZDY_6MJ,30,-0.02202447163515017,-0.029885057471264367,4,10
7ZF0_DHR,30,0.5172413793103449,0.3517241379310345,13,8
7ZHP_IQY,30,0.6649610678531702,0.40229885057471265,10,11
7ZL5_IWE,30,0.5332591768631813,0.37931034482758624,11,14
7ZOC_T8E,30,0.6480533926585095,0.4758620689655172,1,1
7ZTL_BCN,30,0.5546162402669632,0.40689655172413797,11,2
7ZU2_DHT,30,0.04627822574957718,0.03307004601312037,4,7
7ZXV_45D,30,0.6703003337041158,0.4942528735632184,1,1
7ZXZ_K9R,30,0.6952169076751946,0.5310344827586208,21,12
7ZYS_KNR,30,0.14304783092324808,0.06666666666666667,5,19
7ZZB_KGX,30,0.33170189098998887,0.2413793103448276,5,8
7ZZW_KKW,30,0.6898776418242492,0.48045977011494256,1,1
8A1H_DLZ,30,0.643159065628476,0.503448275862069,2,2
8A2D_KXY,30,0.2622914349276974,0.17701149425287357,3,10
8AAU_LH0,30,0.2418242491657397,0.167816091954023,24,7
8ACL_LQL,30,0.06607341490545049,0.05287356321839081,2,16
8AEM_LVF,30,0.5375458927467134,0.37284259438895667,8,3
8AEU_M0L,30,0.4509454949944383,0.30114942528735633,4,26
8AIE_M7L,30,0.4825361512791991,0.33333333333333337,21,3
8AIJ_M9I,30,0.43759733036707454,0.3103448275862069,3,2
8AJX_FUM,30,0.5550611790878754,0.3885057471264368,9,5
8AP0_PRP,30,-0.12836484983314794,-0.10344827586206898,19,18
8AQL_PLG,10,0.4545454545454545,0.28888888888888886,7,5
8AUH_L9I,30,0.3908787541713014,0.2597701149425288,4,10
8AY3_OE3,30,0.207119021134594,0.13563218390804596,1,1
8B8H_OJQ,30,0.12237178849780311,0.07825091487175634,30,8
8BN6_R53,30,0.19021134593993325,0.11264367816091954,19,5
8BOM_QU6,30,0.27430478309232476,0.20459770114942533,14,4
8BPL_CP,30,0.4505005561735262,0.3103448275862069,4,4
8BRO_R7E,30,0.45272525027808674,0.32873563218390806,13,4
8BTI_RFO,30,0.6987764182424916,0.4758620689655172,8,6
8C3N_ADP,30,0.29521690767519465,0.19080459770114944,1,1
8C5D_GTB,30,0.6320355951056729,0.47126436781609193,8,3
8C5M_MTA,30,0.6645161290322581,0.42528735632183906,9,9
8C7Y_TXV,30,0.25428253615127916,0.19080459770114944,25,26
8CGC_LMR,30,0.6916573971078976,0.5172413793103449,22,6
8CI0_8EL,29,0.8181371126717258,0.6452454748336757,4,13
8CNH_V6U,30,0.42869855394883205,0.29195402298850576,3,2
8CSD_C5P,30,0.7721913236929923,0.5862068965517242,3,5
8D19_GSH,30,0.13726362625139044,0.0896551724137931,24,10
8D39_QDB,30,0.07408231368186874,0.03448275862068966,18,22
8D5D_5DK,29,0.8377460379227464,0.7074605501772379,1,1
8DHG_T78,30,0.5483870967741935,0.4298850574712643,6,3
8DKO_TFB,30,-0.10479474978630048,-0.04602994992456255,23,2
8DP2_UMA,30,0.23025583982202447,0.14022988505747128,7,12
8DSC_NCA,30,0.6280311457174638,0.45287356321839084,6,4
8DW5_FQ7,30,0.5670745272525028,0.3885057471264368,2,5
8DZT_G4P,30,0.8042269187986651,0.6459770114942529,1,1
8E77_ULP,30,0.6444938820912125,0.4758620689655172,10,6
8EAB_VN2,30,0.611123470522803,0.4114942528735632,7,10
8EAD_UY0,30,0.32235817575083425,0.20919540229885059,17,25
8ERS_WQO,30,0.7802002224694105,0.5678160919540229,7,7
8EX2_Q2Q,30,0.7677419354838709,0.5770114942528736,15,7
8EXL_799,30,0.6710423892897712,0.49252046419281925,4,15
8EYE_X4I,30,0.6040044493882092,0.439080459770115,2,7
8F8E_XJI,29,0.38768472906403934,0.2660098522167487,9,15
8FAV_4Y5,30,0.696106785317019,0.5080459770114942,2,4
8FLN_Y7W,30,0.21067853170189096,0.15862068965517243,1,1
8FLV_ZB9,30,0.3846496106785317,0.25517241379310346,1,1
8FO5_Y4U,30,-0.07541713014460512,-0.0574712643678161,28,22
8FV9_80J,30,0.6235817575083425,0.45287356321839084,14,7
8G0V_YHT,30,0.1891200367693321,0.13808984977368766,16,22
8G43_ZU6,30,0.1292547274749722,0.11264367816091954,16,9
8G6P_API,30,0.3196885428253615,0.22758620689655176,2,15
