Protein,Ligand,Diffdock,Total
Orai1WT-MDSnap-Fr300_cleaned,6SA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6ZV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,710_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,711_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,740_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,742_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7AK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7I4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7IX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7RU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7T1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7TB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7X1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7Y5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,80I_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8I2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8JC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8PP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8QW_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8RC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8VP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8X7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,8XJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,919_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,964_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,96Q_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9AJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9B0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9HO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9IN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9N6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9SC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9TP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A00_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AAC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AF4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1APA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AZ7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1BLM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1BPC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1C3G_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1CB7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1CEA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1D8M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1D8Y_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1E_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1H3T_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1JMR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1JS8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1JSR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1JTY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1L66_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1LXP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A2E_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A3D_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A4I_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A4P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A6L_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A86_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A8B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AA2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AAF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AAO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ABC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ACG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ACQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ADV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AGA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AH4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AHZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AIK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AK1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AK2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AK3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AKA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AOE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AP5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AP8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,APX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ARC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ARE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ARR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AUR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B18_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B1M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B32_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B3N_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B8L_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B96_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BA3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BBZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BFF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BH7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BL5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BLI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BLM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BN2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BN3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BN4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BN5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BO9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BR4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BTX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BUI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BV1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BV2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BV3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C11_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C1D_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C1N_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C3S_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C41_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C87_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C8E_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C90_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CA3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CA5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CBN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CBO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CC0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CCQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CDA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CDB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CDD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CDU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CG2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CIS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CLL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CM1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CM2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CM5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CNA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CND_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CNS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CO8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CP0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CP4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CPJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CPQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CYU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,D9G_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DAK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DB8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DCA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DCC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DDF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DEO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DEQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DGB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DGD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DGG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DHG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DI4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DID_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DKK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DKT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DN0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DND_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DOL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DR7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DR9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DRA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DVP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ED9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EG3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EHA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ELA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ELD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EM1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EMH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ENA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ENB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ENP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EP6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EPA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EPH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F23_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F42_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F6M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F6O_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,F9R_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FAB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FAD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FAE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FCX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FE1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FEP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FI8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FJ0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FMM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FR1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FRB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FRE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FRH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FRI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FUG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,FXG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,G65_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GCG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GEL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GL8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GLE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GNF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GP3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GTA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GTG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GTY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,GV0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,H4M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HAL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HAZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HDC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HDS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HDY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HG9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HMG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HOP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HSF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HXA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HXC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,HYC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,I12_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,I50_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,I52_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,I6H_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IBI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IDB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IH4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,IK7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,INA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,INB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,J15_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,J78_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,J80_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,J8C_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JAS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JE2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JER_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JEU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JHN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JJH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JNK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,JPR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,K3R_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,K5O_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KAB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KHF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KLN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KNT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KOS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,KTY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L17_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L1P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L24_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L3P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L41_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,L75_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LDM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LEH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LHG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LIL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LIM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LK2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LK3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LMU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LPS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LTD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LTX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LVO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,LYB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MA4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MAY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MCA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MCN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MDE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MGE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MGM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MIM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MJV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MK1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MK6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MLC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MLD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MMI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MPG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MPZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MQ7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MRC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MS3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MWV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MXP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MYA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MYP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,MYX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N7R_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,N8E_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NAQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NBC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NBP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NDA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NDC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NDP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NE6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NHO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NMX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NOV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NTU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NXX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,NZQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,O8N_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ODD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ODT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,OFF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,OHH_ideal,11,11
