Protein,Ligand,Method_1,Pose_1_Rank,Method_2,Pose_2_Rank,RMSD_Å,Centroid_Δ_Å,Comparison
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.13,42.72,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.34,26.29,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,0.99,25.17,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.2,26.4,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.36,40.68,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,1.15,40.68,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,0.74,40.68,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,1.6,19.4,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,0.83,19.4,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.23,19.4,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.38,18.93,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.37,18.93,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.64,18.93,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.96,34.7,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,2.21,36.78,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,1.73,32.15,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.98,34.26,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.77,23.37,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,2.37,24.08,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,1,1.31,34.78,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,2,1.17,27.3,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,3,1.17,27.3,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,1,1.34,30.65,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,2,1.66,33.78,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,3,1.66,33.78,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,1,1.68,14.0,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,2,1.14,60.19,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,3,1.14,60.19,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,0.72,23.58,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,1.28,24.03,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.4,24.25,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.88,23.78,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.52,24.59,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.52,24.41,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.22,28.77,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,1.62,29.73,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,0.76,28.41,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,1,EquiBind,1,1.65,21.82,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,1,EquiBind,2,0.96,23.04,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,1,EquiBind,3,1.91,21.52,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,2,EquiBind,1,0.83,41.61,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,2,EquiBind,2,1.24,41.09,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,2,EquiBind,3,0.98,42.19,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,3,EquiBind,1,0.83,41.61,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,3,EquiBind,2,1.24,41.09,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,3,EquiBind,3,0.98,42.19,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,1,EquiBind,1,1.4,54.72,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,1,EquiBind,2,1.43,56.03,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,1,EquiBind,3,1.58,55.65,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,2,EquiBind,1,1.65,59.06,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,2,EquiBind,2,1.24,59.22,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,2,EquiBind,3,1.71,60.09,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,3,EquiBind,1,1.4,54.72,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,3,EquiBind,2,1.43,56.03,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,3,EquiBind,3,1.58,55.65,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,1,1.59,29.1,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,2,1.28,53.91,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,3,1.28,53.91,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,1,0.98,28.87,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,2,1.23,54.17,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,3,1.23,54.17,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,1,1.13,44.34,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,2,1.39,5.12,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,3,1.39,5.12,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.31,46.93,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,1.4,46.93,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,1.52,46.92,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,1.4,47.01,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,1.29,47.02,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.02,47.01,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.39,20.0,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.36,20.0,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.18,19.93,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,1,1.29,33.38,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,2,0.98,33.38,DiffDock#1 vs EquiBind#2
