Protein,Ligand,AutoDock_Vina_vs_DiffDock_Min,AutoDock_Vina_vs_DiffDock_Mean,AutoDock_Vina_vs_DiffDock_Max,AutoDock_Vina_vs_DiffDock_Range,AutoDock_Vina_vs_EquiBind_Min,AutoDock_Vina_vs_EquiBind_Mean,AutoDock_Vina_vs_EquiBind_Max,AutoDock_Vina_vs_EquiBind_Range,DiffDock_vs_EquiBind_Min,DiffDock_vs_EquiBind_Mean,DiffDock_vs_EquiBind_Max,DiffDock_vs_EquiBind_Range
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,0.98,1.28,1.59,1.0 | 1.3 | 1.6,1.02,1.32,1.52,1.0 | 1.3 | 1.5,0.69,1.02,1.29,0.7 | 1.0 | 1.3
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,1.87,2.08,2.38,1.9 | 2.1 | 2.4,1.26,1.98,2.35,1.3 | 2.0 | 2.4,1.26,1.88,2.6,1.3 | 1.9 | 2.6
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,1.49,1.98,2.58,1.5 | 2.0 | 2.6,,,,,,,,
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,,,,,0.68,1.29,1.91,0.7 | 1.3 | 1.9,,,,
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,,,,,0.73,1.18,1.66,0.7 | 1.2 | 1.7,,,,
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,,,,,1.44,1.9,2.16,1.4 | 1.9 | 2.2,,,,
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,1.03,1.52,1.91,1.0 | 1.5 | 1.9,0.59,1.21,1.46,0.6 | 1.2 | 1.5,1.06,1.32,1.62,1.1 | 1.3 | 1.6
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,,,,,,,,,1.24,1.52,1.81,1.2 | 1.5 | 1.8
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,0.86,1.18,1.6,0.9 | 1.2 | 1.6,0.84,1.25,1.6,0.8 | 1.2 | 1.6,0.63,1.24,1.7,0.6 | 1.2 | 1.7
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,1.36,1.87,2.3,1.4 | 1.9 | 2.3,1.66,2.07,2.58,1.7 | 2.1 | 2.6,1.26,1.67,2.1,1.3 | 1.7 | 2.1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,0.8,1.87,2.58,0.8 | 1.9 | 2.6,,,,,,,,
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,,,,,0.77,1.29,1.71,0.8 | 1.3 | 1.7,,,,
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,,,,,0.67,1.26,1.66,0.7 | 1.3 | 1.7,,,,
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,,,,,1.7,1.99,2.28,1.7 | 2.0 | 2.3,,,,
Orai1WT-START-Fr0,2abp-nh2-OPT,0.72,1.17,1.75,0.7 | 1.2 | 1.8,1.15,1.37,1.55,1.1 | 1.4 | 1.6,1.29,1.37,1.47,1.3 | 1.4 | 1.5
Orai1WT-START-Fr0,2abp-nh3p-OPT,,,,,,,,,1.47,1.63,1.85,1.5 | 1.6 | 1.9
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,1.11,1.44,1.66,1.1 | 1.4 | 1.7,0.8,1.26,1.47,0.8 | 1.3 | 1.5,1.01,1.13,1.4,1.0 | 1.1 | 1.4
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,0.99,1.81,2.22,1.0 | 1.8 | 2.2,1.35,1.89,2.39,1.4 | 1.9 | 2.4,1.66,2.11,2.63,1.7 | 2.1 | 2.6
Orai1WT-START-Fr0,gsk7975a-prot-OPT,1.62,1.74,1.83,1.6 | 1.7 | 1.8,,,,,,,,
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,,,,,0.69,1.41,1.84,0.7 | 1.4 | 1.8,,,,
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,,,,,1.1,1.29,1.51,1.1 | 1.3 | 1.5,,,,
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,,,,,1.62,2.02,2.51,1.6 | 2.0 | 2.5,,,,
