protein,ligand,cluster_id,cluster_method,n_poses,center_x,center_y,center_z,radius_A,AutoDock_Vina,DiffDock,EquiBind,n_methods,methods_present,pocket_type,n_methods_in_pocket
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,0,ward,2,-10.879618749999999,25.828599999999998,-12.8958125,1.79,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,0,ward,7,16.089105528527202,20.968460061919505,14.470873374613003,16.66,3,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,1,ward,9,-15.315120983832129,13.965331682146543,-27.66068507051944,9.67,7,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,2,ward,10,19.02720504643963,-16.400387554179567,12.166545975232198,25.85,6,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,3,ward,6,-7.951863339275104,27.96813089720737,-7.575987759952465,12.57,0,1,5,2,"DiffDock, EquiBind",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,4,ward,6,2.952336274509804,0.6987735294117643,-29.911640196078434,16.01,0,6,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,5,ward,13,-4.268323315075017,7.4197897118361515,23.358426315789476,14.91,5,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,6,ward,4,19.402698529411765,19.183433823529413,-23.02063382352941,17.88,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,7,ward,8,-0.13841447368421053,4.435394736842104,-7.635815789473684,7.87,8,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,8,ward,2,-20.332297058823528,-17.635055882352937,1.9992882352941177,4.95,0,2,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,9,ward,3,-9.348662332301341,-16.462106914344687,-32.03987936016512,14.64,1,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,0,ward,4,12.359167647058822,6.439132352941176,30.499679411764703,19.16,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,1,ward,3,-8.717892156862744,25.449942156862747,-11.90346568627451,2.29,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,0,ward,10,-17.56790113960114,-0.5486683760683756,-25.82150551282051,20.15,5,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,1,ward,16,-0.27448046652421654,5.530317930911681,23.24260270655271,23.47,5,11,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,2,ward,11,0.1393923076923077,5.361400699300699,-19.430706643356643,10.32,0,11,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,3,ward,4,31.742058653846158,7.419088461538463,-20.936374999999998,14.41,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,4,ward,11,-3.4891432012432015,24.611526068376065,-22.03915268065268,16.47,6,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,5,ward,5,15.669833247863252,-14.574306296296296,15.241004928774931,8.31,4,1,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,6,ward,8,-9.432439814814817,-19.627402777777778,5.464300925925926,4.46,8,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,7,ward,4,14.636111538461538,-18.015469230769227,-20.63416826923077,9.15,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,8,ward,4,-10.604493023255813,27.069091279069767,-1.553064534883721,0.28,0,0,4,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,9,ward,2,-25.756499999999996,-2.5550740740740734,10.914444444444442,0.78,2,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,0,ward,5,-6.4928185,15.784893357142858,-22.975452,26.2,0,3,2,2,"DiffDock, EquiBind",Overlapping,2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,1,ward,1,-2.9599142857142864,9.132664285714286,29.023689285714287,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,0,ward,42,0.7307549319727894,5.318296286848073,-25.4263360260771,34.71,13,29,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,1,ward,28,3.6552172193877555,1.6738391156462578,19.795109651360544,32.6,17,11,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,0,ward,3,-7.761641414141415,30.037244444444443,-1.6263797979797978,0.61,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,1,ward,2,-8.470912121212121,30.770669696969694,-0.5114333333333332,0.46,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh3p-OPT,0,ward,2,-8.665117647058825,27.78838970588235,-5.467498529411766,0.56,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh3p-OPT,1,ward,1,-10.204294117647061,30.33810882352941,-3.9344058823529413,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,0,ward,3,-11.01670465116279,28.11051317829457,-1.380566666666667,0.01,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,1,ward,1,-11.221186046511628,28.148244186046508,-1.4369860465116284,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,0,ward,2,-9.696243750000002,26.352116249999995,-10.099103749999998,1.9,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,0,ward,8,24.85657883126935,7.761991099071206,9.743851160990712,23.49,3,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,1,ward,9,6.111512005503956,23.456580873753012,-25.21484021327829,15.77,5,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,2,ward,11,-10.150651843512524,-18.896769124683363,12.39645859836758,19.4,9,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,3,ward,7,0.05372052189296731,3.7335507739938083,23.575391640866876,19.42,3,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,4,ward,8,-12.542861261609907,20.161637964396284,23.932707043343655,18.4,4,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,5,ward,6,-11.743505644682116,25.027878134284013,-6.749513547237076,20.93,0,1,5,2,"DiffDock, EquiBind",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,6,ward,5,10.128429969040248,29.13469758513932,16.545101795665637,16.98,3,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,7,ward,4,14.117910294117646,-10.398239705882354,-29.71175294117647,15.05,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,8,ward,5,-12.854025696594428,-11.583754489164086,-23.434997275541797,18.53,2,3,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,9,ward,6,-3.411665325077399,6.366020175438596,-25.409239525283798,10.25,1,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,0,ward,2,11.364482352941177,19.993458823529412,18.077176470588235,16.58,0,2,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,1,ward,3,-8.856878431372548,27.2184205882353,-13.228187254901961,9.83,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,2,ward,3,10.563082352941175,-14.172458823529412,12.048903921568625,7.83,0,3,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,0,ward,10,-5.93589997150997,-19.25280135327635,6.761859401709401,20.3,8,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,1,ward,9,13.660797499208611,20.722813200379868,21.375913152896487,21.57,5,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,2,ward,3,19.773751282051283,13.515412820512823,-26.531411538461544,14.28,0,3,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,3,ward,8,-10.787242131286028,27.782365988786193,2.873696830484331,15.51,3,1,4,3,"AutoDock_Vina, DiffDock, EquiBind",Overlapping,3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,4,ward,6,23.411340384615382,-13.24273717948718,-20.323961538461536,13.69,0,6,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,5,ward,2,-27.17384230769231,-0.1166019230769233,-16.296442307692306,8.34,0,2,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,6,ward,19,-3.0808506672664566,6.2090643049932535,24.85088413555255,10.57,6,13,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,7,ward,7,0.43308428978428964,3.91189249084249,-22.660815486365486,10.8,1,6,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,8,ward,2,-19.45696396011396,-3.730064814814814,14.264462393162393,6.41,1,1,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,9,ward,8,6.789318340455841,22.252285363247864,-32.10748555911681,11.37,6,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,0,ward,2,0.7950124999999999,3.903744642857143,-25.718075000000006,2.36,0,2,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,1,ward,2,-11.278388749999998,23.87407125,-12.591498749999996,1.12,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,2,ward,1,9.997132142857142,19.339357142857146,-37.545032142857146,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,0,ward,5,17.01311880952381,15.806996428571427,16.928610714285714,11.22,3,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,1,ward,8,9.049044047619049,25.462553124999996,-27.7626625,16.87,2,6,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,2,ward,5,-22.04419904761905,12.25755380952381,-27.398309285714284,14.21,1,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,3,ward,9,-5.701206349206349,-0.4603816137566136,-26.616333994708995,10.1,6,3,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,4,ward,8,-1.0089559523809521,4.803075595238094,25.283757142857144,7.75,4,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,5,ward,3,22.903080952380957,-15.439110714285713,-19.50397261904762,7.95,0,3,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,6,ward,10,-9.224136666666668,-20.38356,6.839903333333334,3.34,10,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,7,ward,4,-17.656467261904762,4.738875892857143,13.05631488095238,5.81,3,1,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,8,ward,4,17.545166964285713,2.3272375,-32.32301607142857,7.66,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,9,ward,1,12.1397,-15.473133333333333,11.066966666666668,0.0,1,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,0,ward,4,-8.366064393939393,29.500356060606066,-2.6981522727272726,0.94,0,0,4,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,1,ward,1,-8.16232424242424,31.072727272727274,-2.8939424242424243,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh3p-OPT,0,ward,2,-8.700882352941175,28.548833823529414,-3.2952867647058826,0.63,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh3p-OPT,1,ward,1,-9.71310588235294,28.585823529411766,-20.60886470588235,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,0,ward,3,-10.838882170542634,26.793728682170542,-4.0146961240310075,0.02,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,1,ward,1,-10.77779069767442,26.896265116279068,-4.140839534883721,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,0,ward,2,-13.03392375,23.41248,-15.754112499999998,0.87,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-START-Fr0,2abp-nh2-OPT,0,ward,8,21.326440905572753,-16.695446787925697,11.362229218266254,32.26,3,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,2abp-nh2-OPT,1,ward,10,3.8747694117647056,9.548430000000002,-28.974944117647063,22.2,0,10,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,2abp-nh2-OPT,2,ward,6,-8.4811628998968,-2.1900336429308567,26.258961042311658,18.65,2,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,2abp-nh2-OPT,3,ward,6,-10.913130540701127,20.19795350564468,-5.872869696969697,8.75,0,1,5,2,"DiffDock, EquiBind",Overlapping,2
Orai1WT-START-Fr0,2abp-nh2-OPT,4,ward,8,9.549211029411763,22.736421671826626,24.744343885448913,18.11,2,6,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,2abp-nh2-OPT,5,ward,1,36.919841176470584,-2.792358823529412,-83.20771764705883,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,2abp-nh2-OPT,6,ward,8,10.146636339009287,-14.134849380804955,-29.943378134674923,17.47,3,5,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,2abp-nh2-OPT,7,ward,1,-40.50865882352941,-38.94875882352941,57.16713529411765,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,2abp-nh2-OPT,8,ward,17,-0.17238080495356042,-0.03421671826625391,-5.694569659442725,3.38,17,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-START-Fr0,2abp-nh2-OPT,9,ward,6,-17.107448142414864,-0.46528095975232114,-29.81774850361197,10.66,3,3,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,2abp-nh3p-OPT,0,ward,4,-11.573238235294118,-4.2115382352941175,26.598988235294115,18.05,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,2abp-nh3p-OPT,1,ward,3,-11.611784313725492,17.85447156862745,-8.152102941176473,4.18,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-START-Fr0,2abp-nh3p-OPT,2,ward,1,-8.148841176470588,-26.256129411764704,-15.325229411764704,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,0,ward,34,-2.5996060436080612,1.1711367494085698,18.17373892357579,74.66,15,16,3,3,"AutoDock_Vina, DiffDock, EquiBind",Overlapping,3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,1,ward,40,-1.316820217236467,-0.3970066096866095,-26.940811595441595,28.79,15,25,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,0,ward,3,18.755903571428576,2.486153571428572,-31.301867857142856,7.91,0,3,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,1,ward,2,-9.3817725,16.644331249999993,-2.6496337499999996,0.99,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,0,ward,12,-8.548386011904762,1.4224404761904765,-31.910935416666664,13.82,0,12,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,1,ward,9,0.10365092592592567,-0.37446957671957676,23.28314074074074,6.83,1,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,2,ward,12,0.6632726190476191,-15.819128869047617,-31.359538988095238,13.83,0,12,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,3,ward,14,0.2854357142857143,0.03827619047619043,-10.830890476190474,5.61,14,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,4,ward,5,16.16816,-19.5517,15.040780000000002,1.6,5,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
