docking_tool,protein,protein_original,ligand,pose_count,file_path,prefix_match,postfix_match
AutoDock_Vina,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0_cleaned__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499_cleaned__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300_cleaned__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0,Orai1WT-START-Fr0,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0,Orai1WT-START-Fr0,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499_cleaned__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499_cleaned__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300_cleaned__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400_cleaned__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0,Orai1WT-START-Fr0,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0_cleaned__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400_cleaned__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300_cleaned__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr300_cleaned__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
DiffDock,Orai1WT-START-Fr0,Orai1WT-START-Fr0,2abp-nh3p-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-START-Fr0,Orai1WT-START-Fr0,Synta-66-OPT-Singlet,41,/home/manndo/master_dev/diffdock_results/Synta-66-OPT-Singlet__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,51,/home/manndo/master_dev/diffdock_results/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,41,/home/manndo/master_dev/diffdock_results/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,31,/home/manndo/master_dev/diffdock_results/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,51,/home/manndo/master_dev/diffdock_results/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,71,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,41,/home/manndo/master_dev/diffdock_results/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,51,/home/manndo/master_dev/diffdock_results/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-START-Fr0,Orai1WT-START-Fr0,gsk7975a-prot-OPT,41,/home/manndo/master_dev/diffdock_results/gsk7975a-prot-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,41,/home/manndo/master_dev/diffdock_results/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,41,/home/manndo/master_dev/diffdock_results/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-START-Fr0,Orai1WT-START-Fr0,gsk7975a-deprot-OPT,41,/home/manndo/master_dev/diffdock_results/gsk7975a-deprot-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,51,/home/manndo/master_dev/diffdock_results/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-START-Fr0,Orai1WT-START-Fr0,2abp-nh2-OPT,41,/home/manndo/master_dev/diffdock_results/2abp-nh2-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
DiffDock,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,41,/home/manndo/master_dev/diffdock_results/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0,Orai1WT-START-Fr0,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr499_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr499_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0,Orai1WT-START-Fr0,Synta-66-OPT-Singlet,3,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-START-Fr0_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-START-Fr0_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr499,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300_cleaned,Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0,Orai1WT-START-Fr0,gsk7975a-deprot-OPT,2,/home/manndo/master_dev/equibind_docked_poses/gsk7975a-deprot-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-START-Fr0_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr300,Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,2abp-nh3p-OPT,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr400_cleaned,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0,Orai1WT-START-Fr0,2abp-nh2-OPT,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-START-Fr0,no_prefix_filter,no_postfix_filter
EquiBind,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,4,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-START-Fr0_cleaned,no_prefix_filter,no_postfix_filter
