family_id,family,correction,family_size,contrast,metric,tool,unit,n_exp,n_bench,n_exp_ligands,n_bench_ligands,median_exp,median_bench,mean_exp,mean_bench,cliffs_delta,delta_lo,delta_hi,p_raw,p_adj,stars,source
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / DiffDock,db_score,diffdock,frame_x_ligand,12,1126,3,302,0.0865,0.117,0.10108333333333334,0.13200177619893427,0.22128478389579634,-0.07030972468916519,0.5196232978093546,0.18693880666786067,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / DiffDock,db_score,diffdock,ligand,3,302,3,302,0.095,0.11574999999999999,0.10000000000000002,0.12225,0.25938189845474613,-0.3577814569536424,0.7549668874172185,0.4414387388826564,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / EquiBind,db_score,equibind,frame_x_ligand,4,743,2,280,0.195,0.483,0.195,0.4836567967698519,0.8472409152086138,0.7742261103633916,0.9138627187079408,0.0034561680093543835,0.054074901451197165,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / EquiBind,db_score,equibind,ligand,2,280,2,280,0.195,0.482,0.195,0.46313214285714294,,,,,,n/a,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / AutoDock Vina,compactness,autodock,frame_x_ligand,12,1232,3,308,0.623,0.529,0.6884166666666668,0.6142597402597403,-0.0928030303030303,-0.44901413690476194,0.2820058847402593,0.5799206880438608,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / AutoDock Vina,compactness,autodock,ligand,3,308,3,308,0.42000000000000004,0.55325,0.6416666666666667,0.5632045454545455,0.07683982683982683,-0.9675324675324676,0.7273538961038957,0.8213477781866261,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / DiffDock,compactness,diffdock,frame_x_ligand,12,1195,3,306,0.3405,0.566,0.5148333333333334,0.6343029288702928,0.17147838214783823,-0.1694107391910739,0.471705020920502,0.306307983635016,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / DiffDock,compactness,diffdock,ligand,3,306,3,306,0.323,0.55225,0.47633333333333333,0.5807794117647059,0.2657952069716776,-0.5295751633986928,0.7450980392156863,0.4301214923754786,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / EquiBind,compactness,equibind,frame_x_ligand,12,1215,3,308,1.0790000000000002,1.419,1.1149166666666666,1.4903349794238683,0.38676268861454044,0.15315843621399178,0.6122788065843621,0.0210073468483797,0.210073468483797,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Compactness / EquiBind,compactness,equibind,ligand,3,308,3,308,1.053,1.4645,1.0955,1.4758019480519482,0.6374458874458875,0.2987012987012987,0.8896103896103896,0.057852209825959254,0.6363743080855518,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / AutoDock Vina,separation,autodock,frame_x_ligand,11,1162,3,308,22.744,17.1625,22.958636363636362,19.66200688468158,-0.31497418244406195,-0.5454584572054452,-0.06304960100140827,0.07191262667262907,0.6472136400536617,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / AutoDock Vina,separation,autodock,ligand,3,308,3,308,23.41,17.32625,23.014666666666667,18.696144480519482,-0.6515151515151515,-0.7424242424242424,-0.5562770562770563,0.05253168966211072,0.6303802759453286,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / DiffDock,separation,diffdock,frame_x_ligand,12,1195,3,306,12.028,10.773,12.750333333333336,13.32790209205021,-0.1906555090655509,-0.3758089260808926,-0.005289400278940085,0.25539406688906785,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / DiffDock,separation,diffdock,ligand,3,306,3,306,12.311,11.12175,12.008833333333333,12.816960784313727,-0.20697167755991286,-0.46405228758169936,0.1111111111111111,0.5394469323416835,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / EquiBind,separation,equibind,frame_x_ligand,4,743,2,280,10.758,6.701,10.58075,7.063228802153431,-0.8492597577388964,-0.9353970390309556,-0.7476278600269181,0.003379681340699823,0.054074901451197165,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Separation / EquiBind,separation,equibind,ligand,2,280,2,280,10.58075,6.7275,10.58075,6.923867857142857,,,,,,n/a,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / AutoDock Vina,stability,autodock,frame_x_ligand,12,1232,3,308,0.8414999999999999,0.782,0.8525833333333335,0.8002840909090908,-0.2904491341991342,-0.585839420995671,0.05292207792207778,0.08293719642606616,0.6472136400536617,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / AutoDock Vina,stability,autodock,ligand,3,308,3,308,0.835,0.7835000000000001,0.8650000000000001,0.7930422077922078,-0.5097402597402597,-0.961038961038961,-0.03896103896103896,0.12946873604849243,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / DiffDock,stability,diffdock,frame_x_ligand,12,1186,3,305,0.651,0.7,0.6726666666666667,0.7124283305227657,0.4043704328274311,0.07621030073074761,0.686205382237212,0.01582649158334431,0.17409140741678739,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / DiffDock,stability,diffdock,ligand,3,305,3,305,0.6455,0.699,0.6713333333333334,0.7068737704918033,0.4666666666666667,-0.3770491803278688,0.940983606557377,0.16523317804580506,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / EquiBind,stability,equibind,frame_x_ligand,12,1215,3,308,1.0,0.875,0.9700000000000001,0.8587802469135803,-0.44238683127572015,-0.579511316872428,-0.279382716049383,0.006222371239930195,0.08089082611909253,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Bootstrap stability / EquiBind,stability,equibind,ligand,3,308,3,308,1.0,0.8899999999999999,0.9866666666666667,0.872935064935065,-0.6201298701298701,-0.7728084415584415,-0.4024080086580097,0.06245958368476678,0.6363743080855518,ns,cluster_quality_per_tool.csv
C,inter-tool consensus distance (A),Holm,4,AutoDock Vina <-> DiffDock,au_di_dist,,frame_x_ligand,11,1184,3,308,38.147,27.0135,40.397363636363636,29.581586148648647,-0.3269348894348894,-0.5702011670761671,-0.09366554054054059,0.06173231636190529,0.06173231636190529,ns,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,AutoDock Vina <-> DiffDock,au_di_dist,,ligand,3,308,3,308,38.147,28.99225,39.7355,30.120027597402593,-0.4199134199134199,-0.551948051948052,-0.2922077922077922,0.21187973077417577,0.21187973077417577,ns,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,AutoDock Vina <-> EquiBind,au_eq_dist,,frame_x_ligand,1,480,1,209,34.544,27.118000000000002,34.544,26.922535416666665,,,,,,n/a,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,AutoDock Vina <-> EquiBind,au_eq_dist,,ligand,1,209,1,209,34.544,27.219,34.544,27.716009569377988,,,,,,n/a,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,DiffDock <-> EquiBind,di_eq_dist,,frame_x_ligand,1,481,1,209,44.901,30.673,44.901,27.667442827442827,,,,,,n/a,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,DiffDock <-> EquiBind,di_eq_dist,,ligand,1,209,1,209,44.901,28.8315,44.901,27.522229665071773,,,,,,n/a,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,All pairs (mean per pair),mean_inter_tool_dist,,frame_x_ligand,11,1187,3,308,38.147,28.445,41.82281818181818,29.008212299915755,-0.4462740292563376,-0.6766561997396032,-0.211377039136096,0.010761474659661343,0.021522949319322686,*,per_pair.csv
C,inter-tool consensus distance (A),Holm,4,All pairs (mean per pair),mean_inter_tool_dist,,ligand,3,308,3,308,40.800000000000004,29.289,40.64966666666666,29.424996753246752,-0.6601731601731602,-0.7792207792207793,-0.5324675324675324,0.046255121986097,0.092510243972194,ns,per_pair.csv
D1,PandaMap total interactions per pose,Holm,3,AutoDock Vina,total_interactions,autodock,frame_x_ligand,11,1224,3,308,30.5,26.0,29.74242424242424,26.336737472766885,-0.2964200831847891,-0.48493575460487226,-0.09275475341651819,0.09022244608049565,0.1804448921609913,ns,pandamap_pose_totals.csv
D1,PandaMap total interactions per pose,Holm,3,AutoDock Vina,total_interactions,autodock,ligand,3,308,3,308,31.666666666666668,26.416666666666668,30.333333333333332,26.655573593073598,-0.3852813852813853,-0.696969696969697,0.06509740259740171,0.252117011082551,0.504234022165102,ns,pandamap_pose_totals.csv
D1,PandaMap total interactions per pose,Holm,3,DiffDock,total_interactions,diffdock,frame_x_ligand,12,1204,3,306,18.166666666666664,15.666666666666666,18.11111111111111,16.237818383167223,-0.27346345514950166,-0.5059073920265781,-0.02550872093023273,0.10269040784940846,0.1804448921609913,ns,pandamap_pose_totals.csv
D1,PandaMap total interactions per pose,Holm,3,DiffDock,total_interactions,diffdock,ligand,3,306,3,306,15.666666666666666,16.166666666666668,17.22222222222222,16.130991285403052,-0.19498910675381265,-0.670016339869281,0.13725490196078433,0.5632787413004094,0.5632787413004094,ns,pandamap_pose_totals.csv
D1,PandaMap total interactions per pose,Holm,3,EquiBind,total_interactions,equibind,frame_x_ligand,1,118,1,79,6.5,10.0,6.5,11.283898305084744,,,,,,n/a,pandamap_pose_totals.csv
D1,PandaMap total interactions per pose,Holm,3,EquiBind,total_interactions,equibind,ligand,1,79,1,79,6.5,11.0,6.5,12.029535864978902,,,,,,n/a,pandamap_pose_totals.csv
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Hydrogen bonds,hydrogen_bonds,autodock,frame_x_ligand,11,1224,3,308,2.6666666666666665,3.6666666666666665,2.5303030303030303,3.9739923747276693,0.39928698752228164,0.13670157456922163,0.6503453654188948,0.022290995851594272,0.04829715767845425,*,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Carbon–π,carbon_pi,autodock,frame_x_ligand,11,1224,3,308,3.3333333333333335,2.3333333333333335,3.5454545454545454,2.5808823529411766,-0.47296494355317886,-0.6846108140225787,-0.24581105169340478,0.006640688351137922,0.028776316188264327,*,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,π–π stacking,pi_pi_stacking,autodock,frame_x_ligand,11,1224,3,308,3.0,2.3333333333333335,3.166666666666667,2.417483660130719,-0.3753713606654783,-0.6370376559714795,-0.08035316399286992,0.031147366131058698,0.050614469962970386,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Donor–π,donor_pi,autodock,frame_x_ligand,11,1224,3,308,1.3333333333333333,1.6666666666666667,1.696969696969697,1.7429193899782132,0.031194295900178252,-0.3360721182412359,0.3732230392156863,0.8582424690889927,0.9373887732584747,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Amide–π,amide_pi,autodock,frame_x_ligand,11,1224,3,308,0.6666666666666666,1.0,0.9545454545454546,0.9075435729847495,-0.023618538324420676,-0.3646130421865716,0.3111278223410572,0.8913087536435422,0.9373887732584747,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Hydrophobic,hydrophobic,autodock,frame_x_ligand,11,1224,3,308,5.333333333333333,3.3333333333333335,5.954545454545454,3.6759259259259265,-0.6085115864527629,-0.7822545306001187,-0.4258671271538919,0.0004944816994090468,0.003214131046158804,**,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Charged classes,ionic,autodock,frame_x_ligand,11,1224,3,308,0.0,0.0,0.0,0.45111655773420484,0.3668300653594771,0.33905228758169936,0.39624183006535946,0.014871507213750568,0.038665918755751476,*,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Halogen bonds,halogen_bonds,autodock,frame_x_ligand,11,1224,3,308,0.6666666666666666,0.0,1.2575757575757576,0.19389978213507625,-0.5194592988710636,-0.8039958407605466,-0.22177473262032088,5.125093241050855e-07,6.662621213366111e-06,***,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Cation–π,cation_pi,autodock,frame_x_ligand,11,1224,3,308,2.0,2.0,2.121212121212121,2.1763344226579524,-0.02540106951871658,-0.3053513071895425,0.27691993464052267,0.8843257910984098,0.9373887732584747,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Covalent,covalent,autodock,frame_x_ligand,11,1224,3,308,0.0,0.0,0.0,0.04003267973856209,0.10620915032679738,0.08905228758169935,0.12418300653594772,0.2540077260717175,0.3669000487702586,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Alkyl–π,alkyl_pi,autodock,frame_x_ligand,11,1224,3,308,6.666666666666667,5.0,6.666666666666668,4.890795206971677,-0.44407308377896615,-0.6675597890671421,-0.21522950089126566,0.01105218887863187,0.035919613855553575,*,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,π–cation,pi_cation,autodock,frame_x_ligand,11,1224,3,308,2.0,2.0,1.8484848484848484,1.9413126361655773,0.013740344622697563,-0.27570558526440875,0.3187927064765299,0.9373887732584747,0.9373887732584747,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Repulsion,repulsion,autodock,frame_x_ligand,11,1224,3,308,0.0,0.0,0.0,0.4422657952069716,0.32189542483660133,0.29411764705882354,0.35049019607843135,0.026062794403292882,0.04840233246325821,*,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Hydrogen bonds,hydrogen_bonds,autodock,ligand,3,308,3,308,2.5,3.833333333333333,2.2777777777777777,3.9810606060606055,0.5670995670995671,0.21750541125541126,0.9383116883116883,0.09149188375833882,0.23787889777168095,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Carbon–π,carbon_pi,autodock,ligand,3,308,3,308,4.0,2.5,3.722222222222222,2.5719696969696964,-0.6764069264069265,-0.9480790043290043,-0.2142045454545459,0.04384224287180751,0.1899830524444992,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,π–π stacking,pi_pi_stacking,autodock,ligand,3,308,3,308,3.3333333333333335,2.333333333333333,3.3888888888888893,2.413961038961039,-0.5768398268398268,-0.9448051948051948,-0.1461038961038961,0.08572289472751594,0.23787889777168095,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Donor–π,donor_pi,autodock,ligand,3,308,3,308,1.3333333333333333,1.8333333333333335,1.6666666666666667,1.6985930735930734,0.004329004329004329,-0.4935064935064935,0.35064935064935066,0.9922697650712975,0.9922697650712975,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Amide–π,amide_pi,autodock,ligand,3,308,3,308,0.8333333333333333,1.0,0.8055555555555555,0.880952380952381,0.2067099567099567,0.045454545454545456,0.37987012987012986,0.5374986150781387,0.723773508327904,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Hydrophobic,hydrophobic,autodock,ligand,3,308,3,308,6.0,3.666666666666667,5.75,3.737824675324675,-0.7337662337662337,-0.8636363636363636,-0.5714015151515153,0.028922650774926242,0.18799723003702057,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Charged classes,ionic,autodock,ligand,3,308,3,308,0.0,0.0,0.0,0.436417748917749,0.3961038961038961,0.3409090909090909,0.4512987012987013,0.18107853328143653,0.33628870466552496,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Halogen bonds,halogen_bonds,autodock,ligand,3,308,3,308,0.8333333333333333,0.0,1.5,0.18614718614718614,-0.553030303030303,-0.987012987012987,0.12995129870129823,0.006627840230350028,0.08616192299455037,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Cation–π,cation_pi,autodock,ligand,3,308,3,308,2.333333333333333,2.0,2.3333333333333335,2.1287878787878785,-0.1958874458874459,-0.4329274891774892,0.054139610389610245,0.5608823874733004,0.723773508327904,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Covalent,covalent,autodock,ligand,3,308,3,308,0.0,0.0,0.0,0.016233766233766232,0.08116883116883117,0.048701298701298704,0.11363636363636363,0.6124237378159187,0.723773508327904,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Alkyl–π,alkyl_pi,autodock,ligand,3,308,3,308,6.333333333333333,5.166666666666667,6.611111111111111,5.01948051948052,-0.5183982683982684,-0.9155844155844156,-0.16883116883116883,0.12294867268680482,0.2663887908214104,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,π–cation,pi_cation,autodock,ligand,3,308,3,308,2.0,1.8333333333333335,2.0,1.9117965367965368,-0.11796536796536797,-0.45676406926406926,0.26193181818181804,0.727108713859949,0.7877011066816114,ns,pandamap_pose_summary.csv (via load_dataset)
D2:autodock,PandaMap interaction-type profile (AutoDock Vina),BH-FDR,13,Repulsion,repulsion,autodock,ligand,3,308,3,308,0.0,0.0,0.0,0.4231601731601731,0.36038961038961037,0.30844155844155846,0.41233766233766234,0.21118289725513206,0.3431722080395896,ns,pandamap_pose_summary.csv (via load_dataset)
D2:diffdock,PandaMap interaction-type profile (DiffDock),BH-FDR,13,Hydrogen bonds,hydrogen_bonds,diffdock,frame_x_ligand,12,1204,3,306,1.3333333333333333,2.3333333333333335,1.3055555555555556,2.465946843853821,0.5441583610188261,0.3567241140642303,0.7091777408637873,0.0011273802096518114,0.003663985681368387,**,pandamap_pose_summary.csv (via load_dataset)
D2:diffdock,PandaMap interaction-type profile (DiffDock),BH-FDR,13,Carbon–π,carbon_pi,diffdock,frame_x_ligand,12,1204,3,306,1.3333333333333333,1.3333333333333333,1.472222222222222,1.4022702104097453,-0.07655038759689922,-0.31492421096345513,0.15353163067552594,0.6449776252715113,0.6750258578532219,ns,pandamap_pose_summary.csv (via load_dataset)
D2:diffdock,PandaMap interaction-type profile (DiffDock),BH-FDR,13,π–π stacking,pi_pi_stacking,diffdock,frame_x_ligand,12,1204,3,306,1.1666666666666665,1.3333333333333333,1.1944444444444444,1.291528239202658,0.06962901439645626,-0.18916459025470655,0.3252249446290141,0.6750258578532219,0.6750258578532219,ns,pandamap_pose_summary.csv (via load_dataset)
